id,largest_included_sphere,largest_free_sphere,largest_included_along_free,unitcell_volume,density,poav_vol_frac,ponav_vol_frac
472,2.19733,0.93047,1.61677,1320.27,3.86736,1,0
47i,1.81329,1.27411,1.74322,285.13,2.34938,1,0
4ba,1.81091,0.83212,1.81091,1213.9,3.5873,1,0
4ea,2.07841,1.22001,2.07841,1371.82,2.81495,1,0
4ie,1.70570,0.56525,1.04870,2181.28,5.45233,1,0
4kt,1.54113,0.72437,1.54113,570.992,2.41599,1,0
4p7,0.70855,0.32238,0.70855,59.7002,2.0103,1,0
4xq,2.63564,1.95295,2.63564,120.811,5.34286,1,0
5bz,1.51927,0.91007,1.51927,228.083,1.73705,1,0
5tl,1.11551,0.61334,1.11551,116.624,6.68552,1,0
5wz,1.42415,0.34141,0.89620,1044.07,2.8192,1,0
5z0,1.63431,1.08122,1.63431,741.469,2.25176,1,0
5zv,1.92787,1.17172,1.80239,651.539,2.88602,1,0
68u,1.80936,0.68958,1.80936,2095.68,5.30037,1,0
6du,5.72422,5.30991,5.72422,585.305,0.157536,1,0
6jf,1.19696,0.43837,0.86576,1006.01,2.93139,1,0
6l9,2.25823,0.33898,2.25823,1801.15,2.59398,1,0
72f,1.75541,0.51923,1.75541,2178.44,5.45944,1,0
7cr,1.49185,0.92181,1.49185,294.042,2.68386,1,0
7e5,1.15581,0.67217,1.14736,241.943,7.98826,1,0
7ek,1.52971,0.58878,1.49240,354.167,3.73351,1,0
7o7,1.48612,0.70872,1.05816,2195.61,6.22183,1,0
7tu,1.94985,0.49765,1.67264,938.268,2.7051,1,0
7w5,1.71829,0.67775,1.71829,2176.88,5.46333,1,0
824,2.30932,0.59386,2.30932,959.56,2.32597,1,0
883,4.26338,2.44321,4.26338,275.195,0.916087,1,0
8fn,1.37980,0.81301,1.37980,1220.52,3.90783,1,0
8k7,1.83829,1.01458,1.83829,1125.99,5.93026,1,0
8ub,1.61814,0.45988,1.61814,953.204,2.66271,1,0
95j,3.61385,1.94285,3.61385,536.687,0.999745,1,0
96f,1.19691,0.52131,1.19691,1007.78,2.61095,1,0
97b,1.09881,0.59066,1.09881,164.597,3.3855,1,0
97p,1.05275,0.23625,1.05275,955.637,2.75746,1,0
9ky,1.86640,1.20264,1.86640,1362.91,2.83336,1,0
9lo,1.56858,0.88551,1.56858,316.282,2.43174,1,0
9lx,1.56212,0.40119,1.56212,965.471,2.72438,1,0
9n0,2.22209,0.80392,1.25573,119.827,5.83013,1,0
9o6,1.68536,0.56679,1.16251,2174.57,5.46915,1,0
9p1,1.68081,0.60802,1.22751,1112.63,5.01308,1,0
9ph,1.11355,0.57778,1.11355,469.496,6.64278,1,0
9rc,1.97992,0.51209,1.70447,961.681,2.36878,1,0
9s4,1.30160,0.66293,1.30160,1303.1,2.96244,1,0
9wf,1.76978,0.41690,1.76799,1330.82,6.37399,1,0
9yt,1.17706,0.61276,1.17706,985.966,2.95319,0.9999,0
9zk,1.70743,1.14768,1.70743,767.624,2.9147,1,0
9zr,1.19336,0.45773,1.19336,993.205,2.96919,1,0
a8v,1.05510,0.44125,0.90100,994.58,2.96508,1,0
aab,1.97456,0.98251,1.97456,809.312,3.4729,1,0
an2,1.13165,0.72977,1.12599,636.173,2.13654,1,0
ar1,1.89959,0.71033,1.89959,734.974,2.67106,1,0
ard,1.71770,1.20604,1.71770,1198.88,5.96374,1,0
aui,1.56901,0.74215,1.56901,553.347,4.40106,1,0
b4c,1.94603,0.90658,1.94603,327.837,1.58387,1,0
b56,2.13633,0.76264,2.13633,943.599,4.0618,1,0
be9,1.53263,0.70285,1.53263,695.112,3.78666,1,0
bi3,1.70829,0.56409,1.10459,2143.35,5.92734,1,0
bjw,1.63608,0.67029,1.63608,1158.52,1.86488,1,0
bnh,1.08291,0.43163,0.89177,1000.72,2.94689,1,0
bnu,2.48089,1.56247,2.48089,1541.58,3.30639,1,0
bq9,3.91166,1.35070,3.91166,700.418,5.26883,1,0
br1,1.88489,0.61408,1.88489,851.971,2.36441,1,0
bsa,1.52899,0.76152,1.52899,172.349,4.18773,1,0
bv2,1.49802,0.76666,1.49802,205.987,4.12244,1,0
c0g,1.52733,0.52348,0.99330,2107.29,7.03752,1,0
c6e,1.05411,0.53546,1.03507,1010,2.60521,1,0
c6h,1.96548,1.03420,1.96109,913.558,2.92646,1,0
cdk,1.30052,0.79717,1.30052,229.467,2.63007,1,0
cfy,1.30562,0.61032,1.30562,413.389,2.15487,1,0
cju,1.14406,0.46625,1.14406,1002.36,2.62506,1,0
ckw,2.38801,1.06921,2.38801,1154.62,4.23199,0.9992,0
clt,1.82340,0.98310,1.82340,201.138,2.54628,1,0
cti,1.86346,0.51786,1.86346,2112.23,5.91364,1,0
cy2,1.11378,0.59923,1.11223,116.644,6.68434,1,0
cz2,2.17665,1.18040,2.17665,793.051,2.35919,1,0
d7f,1.12856,0.55070,1.12856,323.094,6.03991,1,0
d9l,1.28618,0.45632,1.28618,1005.3,2.6174,1,0
dae,1.89090,0.68468,1.89090,2123.06,6.98524,1,0
dc8,1.82251,1.08642,1.82251,690.317,2.7531,1,0
de5,1.07812,0.49199,1.07812,429.511,4.46919,1,0
deu,3.29968,1.32339,3.29968,336.723,2.59734,1,0
dl7,1.59442,0.85654,1.59383,587.933,3.30356,1,0
dlj,0.98970,0.42878,0.97947,1015.74,2.89714,1,0
dmq,1.75403,1.02609,1.75403,1013.63,2.0692,1,0
dnt,1.91866,1.00070,1.89981,905.613,2.92391,1,0
dth,1.46799,0.79956,1.23652,345.606,3.159,1,0
duf,2.14891,0.77907,2.14891,2160.8,2.94207,1,0
dvb,2.12464,0.79247,2.12464,2107.79,5.9261,1,0
dvn,1.74793,0.72302,1.74793,1125.19,1.92012,1,0
e6a,1.48796,0.72743,1.41188,2189.66,5.43146,1,0
e6b,1.92333,0.81254,1.91498,670.47,2.33381,1,0
e81,2.30568,0.73228,2.30568,1146.06,6.80136,1,0
ecp,1.48963,0.65022,1.48963,208.403,5.66823,1,0
ei3,1.75489,0.51287,1.09103,658,2.94247,1,0
ek5,1.39588,0.67225,1.39588,1151.59,3.63011,1,0
elz,1.51064,0.64351,1.51064,535.072,3.87215,1,0
etz,2.10906,0.71093,2.10905,2184.4,5.44453,1,0
fam,1.88981,0.54445,1.88981,2119.99,6.99536,0.9999,0
fft,1.83918,0.52148,1.83918,68.9564,1.67748,1,0
fj5,1.34708,0.39654,1.34708,319.931,3.26863,1,0
fkj,1.03696,0.40817,1.03696,1015.71,2.90339,1,0
fwz,2.19081,1.56485,2.19081,467.778,1.96187,1,0
g5q,1.20005,0.65492,0.93866,2157.49,5.51244,1,0
ga9,3.88389,1.89877,3.88389,1610.01,1.90195,1,0
gas,1.14917,0.69864,1.14917,58.6145,2.91245,1,0
gcj,2.03823,0.61239,2.03823,2058.97,5.7979,1,0
gdr,1.69356,0.66095,1.02529,2150.24,5.53104,1,0
gkl,1.38619,0.55550,1.02690,2094.36,5.96409,1,0
goi,3.87982,2.93095,3.87982,588.473,1.30354,1,0
gvd,2.40876,2.19390,2.40876,44.6593,1.29506,1,0
gw2,1.12963,0.77246,1.12963,1217.79,3.91658,1,0
gwu,2.41292,2.11181,2.41292,56.9422,5.44664,1,0
gxz,1.77127,0.94018,1.13686,334.855,2.29686,1,0
gz8,2.07977,0.63305,2.07976,2105.81,7.04246,1,0
h5i,2.12169,0.86243,1.30574,120.487,5.79819,1,0
h6c,1.75000,1.00078,1.75000,170.425,2.64558,1,0
h7r,1.98228,1.26164,1.98228,1332.2,2.89867,1,0
h82,4.25929,1.41850,4.25929,1033.61,1.82616,1,0
h89,1.70044,0.58625,1.12932,2195.61,6.22183,1,0
hai,3.57797,2.40004,3.57797,577.091,7.60165,1,0
hbz,0.84345,0.41788,0.84345,998.381,3.16085,1,0
hcm,1.71676,0.77882,1.71676,2108.48,6.33387,1,0
hja,1.43191,0.61782,1.43191,323.218,3.42934,1,0
hta,1.11850,0.60519,1.11850,116.248,6.70712,1,0
hud,1.85669,0.50022,1.85669,2197.51,6.46821,1,0
hx7,0.64664,0.30628,0.64664,66.7258,2.90484,1,0
i12,1.41003,0.68990,1.39121,587.764,3.30451,1,0
i47,1.54974,0.87791,1.54974,293.49,2.62039,1,0
i4l,2.05450,1.14309,2.05450,753.076,2.20025,1,0
ia5,2.26068,0.91582,2.26068,306.471,4.88285,1,0
iiy,0.99597,0.45169,0.96554,1007.22,2.92788,1,0
ij5,1.15659,0.51428,1.13437,985.669,2.11216,1,0
ik8,1.96004,0.51875,1.68781,968.182,2.35287,1,0
ipo,1.26113,0.72755,1.26113,2169.34,6.21107,1,0
iqt,2.07529,1.07444,2.07529,1300.2,3.28912,1,0
ish,1.15663,0.45368,1.15663,1005.8,2.932,1,0
ix1,2.01045,0.93558,2.01045,1487.53,5.7737,1,0
j5g,1.41687,0.53319,1.05187,2153.49,5.80034,1,0
j8q,1.66506,0.46483,1.48028,960.829,2.32289,1,0
jej,1.52240,0.67519,1.10131,2060.5,5.01736,1,0
jkq,1.65540,0.92107,1.65540,588.607,3.29978,1,0
jl4,1.54697,0.75529,1.54697,588.312,3.30143,1,0
joc,1.83867,0.73840,1.56129,309.128,1.93446,1,0
jqc,1.50382,0.57077,1.17378,133.959,4.46873,1,0
jy6,1.31693,0.41856,1.31693,556.102,2.24631,1,0
k4x,2.07697,0.48704,2.07697,946.83,2.04489,1,0
ka6,1.86760,0.64351,1.86760,2105.81,7.04246,0.9999,0
kab,1.47124,0.65115,1.47124,1304.71,2.95879,1,0
kbo,2.16991,0.77870,2.04546,942.521,3.53076,1,0
kbq,1.78745,0.55022,1.17354,2230.22,6.73549,1,0
kbu,2.11645,0.61277,2.11645,2112.38,7.02058,0.9999,0
kfp,1.85179,0.95594,1.51831,1230.37,3.51064,1,0
kgl,1.20010,0.50499,1.20010,967.684,2.15141,1,0
kh3,1.82275,0.66635,1.07244,2168.98,5.86584,1,0
kji,1.85934,0.54242,1.85934,2151.74,5.52718,1,0
kkn,0.74762,0.34771,0.74762,714.268,3.9085,1,0
kko,1.98955,0.55755,1.98955,971.099,2.70859,1,0
klr,2.12429,1.05111,2.12429,766.145,2.44204,1,0
kmv,1.92276,0.95366,1.92276,700.551,2.80231,1,0
kop,1.90381,0.45507,1.90381,958.172,2.42557,1,0
ku9,2.72167,1.15855,2.72167,119.674,5.8376,1,0
kxw,2.67405,1.55191,2.67405,1510.35,3.37476,1,0
l2w,0.87201,0.41269,0.87201,210.783,2.98404,1,0
l6h,1.96497,0.75277,1.14573,2175.77,5.46611,1,0
l9r,1.72406,0.56223,1.72406,2052.63,4.76708,1,0
l9v,1.37763,1.00899,1.33507,1171.52,2.75195,1,0
lap,1.60891,1.02021,1.60891,1304.32,2.95967,1,0
ldx,1.73228,1.16880,1.71707,1212.33,3.59197,1,0
liv_2005,1.85510,0.66420,1.21654,1096.03,5.37496,1,0
liv_2006,1.97183,1.44863,1.86536,133.79,2.30965,1,0
liv_2008,2.07219,0.75107,1.98939,924.214,2.99994,1,0
liv_2014,2.57011,2.08597,2.57011,508.031,3.30936,1,0
liv_2024,1.86241,0.92340,1.85714,983.706,3.75742,1,0
liv_2025,1.74528,0.31879,1.74528,274.947,2.30174,1,0
liv_2030,1.78680,0.31242,1.78680,272.895,2.33783,1,0
liv_2031,1.61435,0.87446,1.61435,39.0071,2.20846,1,0
liv_24,1.68081,0.60802,1.22751,1112.63,5.01308,1,0
liv_250,1.78402,1.02166,1.78402,421.261,3.44572,1,0
liv_313,1.87628,1.23866,1.87628,902.911,2.85122,1,0
liv_35,1.87628,1.23866,1.87628,902.911,2.85122,1,0
liv_37,2.30294,0.82269,2.30294,988.996,1.97707,1,0
liv_387,2.49070,1.67494,2.49070,521.632,3.01972,1,0
liv_39,1.82420,1.13953,1.59677,876.767,1.8721,1,0
liv_391,2.49070,1.67494,2.49070,521.632,3.01972,1,0
liv_409,1.91866,1.00070,1.89981,905.613,2.92391,1,0
liv_410,1.96548,1.03420,1.96109,913.558,2.92646,1,0
liv_411,2.11012,1.24582,2.09947,972.926,3.04389,1,0
liv_441,1.78402,1.02166,1.78402,421.261,3.44572,1,0
liv_471,1.74686,1.22574,1.72990,932.025,3.7719,1,0
liv_495,1.99665,1.23457,1.89056,361.546,2.89822,1,0
liv_499,1.42883,0.93371,1.42883,271.554,1.64127,1,0
liv_5,2.17497,1.22436,2.14167,309.557,1.4235,1,0
liv_500,1.42883,0.93371,1.42883,271.554,1.64127,1,0
liv_502,1.15044,0.42837,1.15044,423.356,2.21304,1,0
liv_504,0.54636,0.24100,0.54636,61.5664,3.14828,1,0
liv_534,1.87628,1.23866,1.87628,902.911,2.85122,1,0
liv_535,2.49070,1.67494,2.49070,521.632,3.01972,1,0
liv_541,1.63614,0.84681,1.63614,309.387,2.48593,1,0
liv_542,1.74673,0.90519,1.74673,342.875,2.62995,1,0
liv_555,1.50329,0.86442,1.50329,170.011,3.21088,1,0
liv_561,1.32641,0.81272,1.32641,273.597,1.8988,1,0
liv_582,1.20262,0.77039,1.20262,538.085,2.22103,1,0
liv_587,4.04192,2.99465,3.93358,199.623,0.724831,1,0
liv_703,1.67766,1.13393,1.67766,1467.25,2.67421,1,0
liv_704,1.51355,1.01050,1.21237,1136.15,2.45225,1,0
liv_705,1.50329,0.86442,1.50329,170.011,3.21088,1,0
liv_706,2.71909,0.86158,2.71909,1208.01,4.19057,1,0
liv_708,0.76875,0.27877,0.76875,53.1501,4.18165,1,0
liv_710,2.47580,1.66001,2.47580,116.355,1.47843,1,0
liv_712,2.29372,1.01276,2.29372,992.077,2.64892,1,0
liv_714,1.91458,0.69623,1.91458,239.75,4.67618,1,0
liv_716,1.74673,0.90519,1.74673,342.875,2.62995,1,0
liv_717,1.82420,1.13953,1.59677,876.767,1.8721,1,0
liv_718,3.30825,2.12152,3.30825,618.978,0.973029,1,0
liv_722,2.85210,2.37899,2.85210,255.363,1.50326,1,0
liv_725,1.79461,0.48710,1.79461,67.3231,1.71818,1,0
liv_730,2.22931,0.56491,2.22931,467.002,2.35306,1,0
liv_733,1.77882,0.63832,1.77882,1070.57,5.14474,1,0
liv_755,1.32641,0.81272,1.32641,273.597,1.8988,1,0
liv_765,1.64349,0.88160,1.64349,233.889,1.96187,1,0
liv_775,1.68081,0.60802,1.22751,1112.63,5.01308,1,0
liv_776,1.65514,0.58411,1.16823,1067.88,6.30874,1,0
liv_778,1.82420,1.13953,1.59677,876.767,1.8721,1,0
liv_781,1.92885,1.09023,1.92885,667.551,2.27496,1,0
liv_783,1.15044,0.42837,1.15044,423.356,2.21304,1,0
liv_789,1.98805,1.03911,1.98805,709.342,2.5726,1,0
liv_791,1.05156,0.40148,1.05156,434.655,3.49624,1,0
liv_792,1.54703,0.72790,1.54703,159.511,1.87447,1,0
liv_8,1.30126,0.46785,0.99242,144.908,2.15512,1,0
liv_821,2.27679,0.81952,2.03738,981.404,1.8417,1,0
liv_867,1.68081,0.60802,1.22751,1112.63,5.01308,1,0
liv_903,1.54807,0.62146,1.07936,290.249,2.88837,1,0
liv_95,1.83829,1.01458,1.83829,1125.99,5.93026,1,0
liv_96,1.83829,1.01458,1.83829,1125.99,5.93026,1,0
lk8,1.09750,0.56538,1.09750,57.9471,6.72759,1,0
lkm,1.53437,0.96756,1.42884,608.087,3.26445,1,0
lol,0.80769,0.47321,0.80769,426.725,2.8752,1,0
lpx,1.94528,0.64041,1.81468,1510.68,3.49432,1,0
lrh,2.02261,0.87954,2.00924,882.49,3.06797,1,0
lud,1.08967,0.55934,1.08967,57.5885,6.76949,1,0
lxk,0.94511,0.32675,0.94511,1087.99,3.28438,1,0
m0v,1.53770,0.92203,1.53770,584.696,1.92709,1,0
mde,1.90444,1.05198,1.83791,704.703,2.21306,1,0
mdp,1.65585,1.10692,1.38109,829.348,1.97914,1,0
me3,1.38376,0.67343,1.38376,208.631,5.66203,1,0
mfs,1.42974,0.76965,1.42974,550.582,4.42316,1,0
mfu,1.79498,0.75569,1.66493,937.277,4.63668,1,0
mg4,1.71814,0.85386,1.68833,1302.89,2.96388,1,0
mn3,1.91882,1.00548,1.91882,820.152,3.80035,1,0
mq1,1.87924,0.91631,1.87924,347.443,2.58892,1,0
mtn,1.99876,0.50727,1.99875,956.745,2.381,1,0
mtr,1.76927,0.75948,1.76927,2186.02,5.18742,1,0
my9,1.69019,1.01805,1.69019,1305.11,3.27676,1,0
n27,1.42601,0.82052,1.42601,148.716,2.22199,1,0
na5,1.97158,1.09786,1.67310,2422.98,3.11584,0.9998,0
ner,1.85437,0.70040,1.10450,2194.47,6.47718,1,0
nhq,1.95716,0.88003,1.86444,645.218,1.92508,1,0
nig,1.08030,0.38364,1.08030,996.416,2.95962,1,0
nip,2.04682,0.59153,2.04682,970.866,2.61427,1,0
nkr,2.30294,0.82269,2.30294,988.996,1.97707,1,0
nua,2.00820,0.69862,2.00820,171.635,4.9866,1,0
o0a,1.82377,0.88496,1.82377,788.918,3.67956,1,0
o5q,1.77053,0.72189,1.18937,2169.13,5.48285,1,0
o9h,2.14414,0.84355,1.24231,121.06,5.77075,1,0
ob9,0.92585,0.48802,0.92585,211.068,2.98002,1,0
oi6,1.54901,0.50931,1.45678,127.469,3.56006,1,0
opo,0.97734,0.46679,0.97734,438.744,4.41478,1,0
ozo,2.35639,0.96732,2.35639,120.395,5.80264,1,0
p81,1.75089,0.93953,1.75089,590.947,1.97523,1,0
p9u,1.03816,0.36452,1.03816,1043.01,2.82208,1,0
pa1,1.17843,0.22987,1.17843,1072.09,3.43356,1,0
pbz,1.44020,0.77454,1.44020,351.288,3.76411,1,0
pe2,3.78164,0.58800,3.78164,1183.37,5.4968,1,0
pg8,1.39974,0.45033,1.39974,1320.17,3.67411,1,0
pql,3.10572,1.77395,2.20340,1604.64,1.86156,1,0
ptg,1.82420,1.13953,1.59677,876.767,1.8721,1,0
pwr,1.18467,0.33899,1.08702,165.282,3.10546,1,0
qa9,1.39546,0.73902,1.39546,113.399,1.74689,1,0
qbb,0.64664,0.30628,0.64664,66.7258,2.90484,1,0
qea,1.87628,1.23866,1.87628,902.911,2.85122,1,0
qer,1.86249,0.77813,1.82101,798.966,3.63328,1,0
qno,1.57665,0.91295,1.57665,1307.9,3.26977,1,0
qy4,1.66169,0.90284,1.66169,1487.21,2.17968,1,0
r5y,1.74232,0.89952,1.74232,300.182,2.96619,1,0
r99,1.17433,0.68976,1.17433,241.943,7.98826,1,0
ro9,1.43741,0.78169,1.43741,279.065,2.63689,1,0
rr5,1.87787,0.96340,1.87787,1309.88,2.94805,1,0
rty,2.01987,0.43809,2.01987,964.347,2.41004,1,0
rwr,3.56537,1.94432,3.56537,1643.88,2.0367,1,0
s2v,1.75452,0.67418,1.75451,2185.31,5.1891,1,0
s3h,1.12606,0.62333,1.12606,115.944,6.72473,1,0
sg0,0.98171,0.49347,0.98171,163.489,3.40845,1,0
sib,1.16167,0.65950,1.16167,242.031,7.98537,1,0
skm,2.67597,0.57373,2.63187,231.472,4.64405,1,0
sqm,1.73423,0.69305,1.13785,2154.33,6.34104,1,0
t0h,0.98192,0.42415,0.97437,244.404,4.16088,1,0
t2c,1.05506,0.50806,1.05506,1012.61,2.59849,1,0
t3k,1.91197,0.83492,1.91197,1153.69,1.87268,1,0
tbj,1.98119,0.74141,1.10137,2120.17,5.99214,1,0
tbu,1.79953,0.98697,1.59624,324.233,2.3721,1,0
tjh,1.22843,0.71123,1.22843,1220.49,3.90791,1,0
tka,1.09419,0.82680,1.09419,232.611,3.00208,1,0
tt3,1.42883,0.93371,1.42883,271.554,1.64127,1,0
tvf,1.67477,0.72042,1.17804,501.206,2.38909,1,0
tws,2.93058,0.59168,2.29203,628.034,3.55449,1,0
u0c,1.51935,0.71567,1.51935,585.662,1.92391,1,0
u2y,1.13365,0.63862,1.13365,116.185,6.71073,1,0
u8r,2.70602,0.71836,1.91388,554.594,6.06611,1,0
uaz,1.22126,0.48566,1.14759,2055.75,5.807,1,0
ueu,1.46051,0.68308,1.06315,2162.05,5.50081,1,0
uex,3.40549,0.88349,2.09405,1234.74,2.90643,1,0
ui6,2.01178,0.58100,2.01178,946.997,2.68016,1,0
um1,2.36465,1.76659,2.36465,1565.65,4.0164,1,0
uox,1.60606,0.83825,1.35663,324.767,2.36821,1,0
ur9,2.23700,1.37731,2.23700,1507.5,3.13469,1,0
usu,3.18235,1.22384,3.18235,349.818,2.93777,1,0
uu4,1.35213,0.86287,1.35213,471.226,2.98486,1,0
uut,1.17274,0.49743,0.91433,999.235,2.63328,1,0
uw9,1.68258,0.60814,1.22737,2242.59,6.69836,1,0
uwh,1.21099,0.66388,1.21099,2115.04,5.62306,1,0
ux3,1.26591,1.00673,1.26591,535.651,4.69474,1,0
uxi,1.81007,0.76816,1.81007,1147.6,1.88262,1,0
uxo,1.71317,0.81629,1.70942,314.952,2.44201,1,0
vg0,1.63489,0.79397,1.63489,1216.4,3.57996,1,0
vj7,1.13978,0.45089,1.13978,1010.99,2.91695,1,0
vlm,1.08742,0.55760,1.08742,57.4856,6.7816,1,0
vqj,4.02984,1.37363,4.02984,1010.84,1.8673,1,0
vqu,1.83931,0.70063,1.83930,2030.23,6.36228,1,0
vwy,1.12029,0.60709,1.12029,116.256,6.70669,1,0
vy5,3.63096,1.00276,3.63096,907.32,3.88062,1,0
vzu,2.11012,1.24582,2.09947,972.926,3.04389,1,0
w7d,1.73187,0.79389,1.11001,314.594,2.44478,1,0
w87,0.96585,0.35597,0.96585,993.633,3.52469,1,0
wa3,1.54663,0.52264,1.19759,2176.28,7.44127,1,0
wgw,1.66934,0.64753,1.09314,406.922,5.38516,1,0
wsd,1.05083,0.42618,1.05083,1015.71,2.90339,1,0
wyu,1.66225,0.59461,1.19439,2183.83,5.10818,1,0
x2i,1.76809,1.52153,1.76809,469.694,7.01187,1,0
x2v,1.00479,0.43353,0.92986,998.141,2.9545,1,0
x9d,1.01955,0.42685,1.01955,1002.94,2.94036,1,0
xa0,1.58750,1.02978,1.58750,1299.16,3.13207,1,0
xas,1.02384,0.37765,1.02384,866.65,3.50697,1,0
xk3,1.96349,1.01380,1.96349,779.34,3.72477,1,0
xog,1.67556,0.58080,1.67556,2125.1,5.97824,1,0
xq3,1.38162,0.85915,1.38162,406.081,5.39631,1,0
xub,1.43657,0.64583,1.43657,586.439,1.92136,1,0
xut,3.25105,0.67327,2.30440,1145.76,6.80312,1,0
xz4,1.46655,0.60958,1.46655,325.855,3.40158,1,0
y2l,1.94721,0.58299,1.94721,335.854,1.87832,1,0
yab,2.37918,1.05860,2.37918,1147.3,5.27838,0.9992,0
yav,1.58825,0.57964,1.58825,1116.74,1.93465,1,0
ym6,1.38002,0.81981,1.38002,1305.45,3.2759,1,0
ymc,1.17452,0.50402,1.17452,1033.06,2.85464,1,0
yp3,1.87628,1.23866,1.87628,902.911,2.85122,1,0
yq2,1.23087,0.72607,1.23087,1307.73,3.27018,1,0
yqu,1.56162,0.91160,1.56162,1300.23,3.28905,1,0
ysm,3.26042,0.78282,3.26042,1152.88,4.73214,0.9999,0
ywe,1.09007,0.36343,1.02870,1055.29,2.78923,1,0
z16,1.02614,0.38771,1.02614,997.069,2.95768,1,0
z2s,1.78034,0.63747,1.78034,2104.93,5.75108,1,0
z7n,2.14545,1.05719,2.14545,1487.53,5.7737,1,0
z9y,1.60124,0.88749,1.60124,1303.45,2.96164,1,0
zs0,1.44831,0.73345,1.43373,208.442,5.66717,1,0
zv5,1.87262,0.97004,1.87262,724.25,2.28783,1,0
zxr,1.71693,0.51265,1.16729,2112,5.53019,1,0
zzr,2.09946,0.53200,2.09946,949.694,2.44722,1,0
