cif_id,barrier_1d,barrier_2d,barrier_3d
3vi,0.4199,0.4199,0.4199
3we,0.7324,0.7324,4.8145
472,0.5957,2.5293,2.7637
4ba,0.8008,0.8008,0.8008
4t5,0.625,0.6836,0.791
50s,0.5371,0.5371,0.5371
544,0.4199,0.4199,0.4199
5gj,0.4297,0.4297,0.4297
5qw,0.4297,0.4297,0.4297
5u3,0.7129,0.7715,0.8008
6he,0.3516,0.3613,0.3613
6hq,0.4199,0.4199,0.4199
7kf,0.5371,0.5371,0.5371
86k,0.5664,0.7031,3.916
8jy,0.7129,0.7715,0.8008
8m3,0.4297,0.4297,0.4297
9lx,0.6934,0.7129,0.7129
9z8,0.4492,0.498,0.5566
a3e,0.6348,0.9766,1.0156
aax,0.4199,0.4199,0.4199
ag1,0.6152,0.6152,0.6152
b7v,0.5664,0.5664,0.6348
ci1,0.498,0.498,0.498
cjq,0.6055,0.7617,0.8496
coi,0.4199,0.4199,0.4199
ctg,0.5371,0.5371,0.5371
d4q,0.3516,0.3613,0.3613
d6b,0.3516,0.3613,0.3613
dku,0.8496,1.5039,1.5137
e0z,0.5371,0.5371,0.5371
e6e,0.6152,0.6152,0.6152
ed4,0.6152,0.6152,0.6152
efb,0.6152,0.6152,0.6152
eij,0.6152,0.6152,0.6152
f4x,0.3516,0.3613,0.3613
f5n,0.5859,0.8203,0.9082
f7p,0.5371,0.5371,0.5371
fkt,0.5371,0.5371,0.5371
g5g,0.4492,0.498,0.5566
gjy,0.5371,0.5371,0.5371
gl0,0.3418,0.4102,0.4102
gyw,0.6348,0.6348,2.2949
h8o,0.3711,0.5566,0.5762
hln,0.3027,0.332,0.7227
hpu,0.6348,0.9766,1.0156
hud,0.3711,0.3711,0.3711
hyj,0.5371,0.5371,0.5371
hzf,0.5371,0.5371,0.5371
i6k,1.2891,2.1289,2.1387
i8k,0.7129,0.7715,0.8008
ijh,0.4297,0.4297,0.4297
ikh,0.4199,0.4199,0.5078
jce,2.5293,2.5293,2.5879
kf7,0.4297,0.4297,0.4297
kxh,1.7969,1.7969,1.7969
l8t,0.5371,0.5371,0.5371
lcm,0.6738,0.6738,2.2656
ldd,0.6738,0.6738,2.2656
lf5,0.4297,0.4395,0.4395
lrh,0.5957,0.5957,0.8594
lz8,0.5371,0.5371,0.5371
m0j,0.8496,1.5039,1.5137
mdj,0.5371,0.5371,0.5371
mgs,0.6152,0.6152,0.6152
n7a,0.625,0.625,0.625
ndx,0.8496,1.5039,1.5137
nf0,0.5371,0.5371,0.5371
nng,0.6152,0.6152,0.6152
o86,0.4199,0.4199,0.4199
oi4,2.5293,2.5293,2.5879
oxc,0.5371,0.5371,0.5371
p4l,0.5371,0.5371,0.5371
ps0,0.6348,0.6348,2.2949
pwy,0.3516,0.3613,0.3613
q46,0.4297,0.4297,0.4297
q9f,0.4297,0.4297,0.4297
qkr,0.5371,0.5371,0.5371
qtc,0.4297,0.4395,0.4395
qvu,0.4297,0.4297,0.4297
rg6,0.5371,0.5371,0.5371
rgo,0.4199,0.4199,0.4199
ssv,1.1914,1.2109,1.709
sv7,5.0879,5.0879,5.0879
t17,0.4297,0.4297,0.4297
t1l,0.5371,0.5371,0.5371
tlp,2.2461,2.2461,3.6426
tp2,0.5371,0.5371,0.5371
txm,0.3516,0.3613,0.3613
tzl,0.5371,0.5371,0.5371
u5t,0.6152,0.6152,0.6152
ubi,0.7129,0.7715,0.8008
utv,0.4297,0.4297,0.4297
v1t,0.3516,0.3613,0.3613
vus,0.5371,0.5371,0.5371
vwn,2.2461,2.2461,3.6426
w1l,2.5293,2.5293,2.5879
w3n,0.5371,0.5371,0.5371
wmr,0.3418,0.4102,0.4102
x94,0.3418,0.4102,0.4102
x9a,0.5371,0.5371,0.5371
xkh,0.498,0.498,0.498
xxq,0.3711,0.5566,0.5762
xz4,2.7539,3.4766,3.5742
y9l,0.3516,0.3613,0.3613
ylh,0.6738,0.6738,2.2656
yn6,0.7129,0.7715,0.8008
za6,0.6152,0.6152,0.6152
zyx,0.4297,0.4297,0.4297
