id,composition,log_conductivity,family,space_group_num,a,b,c,alpha,beta,gamma,has_cif,source,split,doi
cy2,La0.64Li0.08TiO3,-3.474955192963155,perovskites,47.0,3.8753,3.8638,7.7901,90.0,90.0,90.0,True,obelix,train,10.1016/s0167-2738(00)00761-x
5tl,La0.62Li0.14TiO3,-3.354577730650908,perovskites,47.0,3.8757,3.8655,7.7845,90.0,90.0,90.0,True,obelix,train,10.1016/s0167-2738(00)00761-x
u2y,La0.595Li0.215TiO3,-3.0690509688324767,perovskites,47.0,3.8671,3.8654,7.7727,90.0,90.0,90.0,True,obelix,train,10.1016/s0167-2738(00)00761-x
5z0,Li5AlO4,-9.30102999566398,oxides,61.0,9.08,8.94,9.13,90.0,90.0,90.0,True,obelix,train,10.1016/0025-5408(76)90169-0
472,Li14Nd5(Si11N19O5)O2F2,-9.769551078621726,nitridosilicates,59.0,17.126,7.6155,10.123,90.0,90.0,90.0,True,obelix,train,10.1021/ja302255d
9zk,Li5GaO4,-8.301029995663981,oxides,61.0,9.173,9.094,9.202,90.0,90.0,90.0,True,obelix,train,10.1016/0025-5408(76)90169-0
dnt,Li2CrTi(PO4)3,-6.355561410532162,NASICON,61.0,8.461,8.688,23.83,90.0,90.0,90.0,True,obelix,train,10.1016/s0167-2738(96)00565-6
c6h,Li2FeTi(PO4)3,-6.476253533188435,NASICON,61.0,8.452,8.672,23.62,90.0,90.0,90.0,True,obelix,train,10.1016/s0167-2738(96)00565-6
vzu,Li2FeZr(PO4)3,-6.841637507904751,NASICON,61.0,8.47,8.72,23.8,90.0,90.0,90.0,True,obelix,train,10.1016/s0167-2738(96)00565-6
nhq,Li3PS4,-6.049148541111453,thio-LISICON,62.0,13.066,8.015,6.101,90.0,90.0,90.0,True,obelix,train,10.1021/ja3110895
w7d,Li3PO4,-17.3767507096021,LISICON,62.0,6.1113,10.4612,4.9208,90.0,90.0,90.0,True,obelix,train,10.1006/jssc.1995.1140
fj5,Li6.5O8P1.5Si0.5,-6.347753658996677,LISICON,62.0,10.52587,6.11525,4.97031,90.0,90.0,90.0,True,obelix,train,10.1021/jacs.5b04444
gxz,Li4Zn(PO4)2,-10.0,phosphates,62.0,10.2974,6.5021,5.0011,90.0,90.0,90.0,True,obelix,train,10.1021/acs.chemmater.7b05139
tbu,Li3.5Zn0.5Ga0.5(PO4)2,-10.0,phosphates,62.0,10.08925,6.5108,4.935878,90.0,90.0,90.0,True,obelix,train,10.1021/acs.chemmater.7b05139
uxo,Li2.88PO3.73N0.14,-12.853871964321762,LISICON,62.0,6.1153,10.469,4.9195,90.0,90.0,90.0,True,obelix,train,10.1006/jssc.1995.1140
e6b,Li4GeS4,-6.698970004336019,thio-LISICON,62.0,14.07,7.75,6.15,90.0,90.0,90.0,True,obelix,train,10.1016/s0167-2738(00)00277-0
pbz,Li3.75Ge0.75V0.25O4,-5.247183568811729,LISICON,62.0,10.896,6.2516,5.1571,90.0,90.0,90.0,True,obelix,train,10.1023/a:1026135806929
7ek,Li3.70Ge0.85W0.15O4,-4.42021640338319,LISICON,62.0,10.938,6.274,5.1609,90.0,90.0,90.0,True,obelix,train,10.1023/a:1026135806929
kmv,Li4SnS4,-4.154901959985743,Chalcogenidotetrelates,62.0,13.812,7.9624,6.367,90.0,90.0,90.0,True,obelix,train,10.1021/cm3011315
9lo,Li3PO4,-12.756961951313706,LISICON,62.0,10.4772,6.1179,4.9297,90.0,90.0,90.0,True,obelix,train,10.1021/acs.chemmater.8b01504
dth,Li4GeO4,-11.886056647693165,LISICON,63.0,7.7661,7.3645,6.0555,90.0,90.0,90.0,True,obelix,train,10.1021/acs.chemmater.8b01504
45e,Li2MgBr4,-9.10790539730952,halides,65.0,7.771,11.04,7.735,90.0,90.0,90.0,True,obelix,train,10.1002/chin.198639014|10.1149/1.2108704
x2i,LiBiO2,-7.42021640338319,oxides,72.0,18.00548,5.18159,4.97144,90.0,90.0,90.0,True,obelix,train,10.1016/j.ssi.2015.10.016
xz4,(Li0.5Ce0.5)(MoO4),-7.886056647693163,molybdates,88.0,5.2943,5.2943,11.6254,90.0,90.0,90.0,True,obelix,train,10.1007/s12039-011-0068-5
hja,(Li0.5Ce0.25Pr0.25)(MoO4),-9.0,molybdates,88.0,5.284,5.284,11.5763,90.0,90.0,90.0,True,obelix,train,10.1007/s12039-011-0068-5
3nb,(Li0.5Ce0.25Sm0.25)(MoO4),-9.744727494896694,molybdates,88.0,5.2546,5.2546,11.5052,90.0,90.0,90.0,True,obelix,train,10.1007/s12039-011-0068-5
qa9,Li3BN2,-9.795880017344077,boron nitride,136.0,4.6435,4.6435,5.2592,90.0,90.0,90.0,True,obelix,train,10.1016/0022-4596(87)90135-6
hta,La0.565Li0.305TiO3,-3.0190880622231564,perovskites,123.0,3.8727,3.8727,7.751,90.0,90.0,90.0,True,obelix,train,10.1016/s0167-2738(00)00761-x
s3h,La0.5Li0.5TiO3,-3.0338582672609675,perovskites,123.0,3.8688,3.86885,7.7462,90.0,90.0,90.0,True,obelix,train,10.1016/s0167-2738(00)00761-x
nua,Li(LaTiO4),-10.0,perovskites,129.0,3.77,3.77,12.076,90.0,90.0,90.0,True,obelix,train,10.4028/www.scientific.net/msf.321-324.965
3rx,Li(NdTiO4),-10.0,perovskites,129.0,3.7465,3.7465,11.895,90.0,90.0,90.0,True,obelix,train,10.4028/www.scientific.net/msf.321-324.965
7e5,La0.65Li0.05(Mg0.5W0.5)O3,-6.7447274948966935,perovskites,129.0,5.533,5.533,7.903,90.0,90.0,90.0,True,obelix,train,10.1016/j.ssi.2004.05.010
sib,La0.63Li0.11(Mg0.5W0.5)O3,-5.167491087293763,perovskites,129.0,5.534,5.534,7.903,90.0,90.0,90.0,True,obelix,train,10.1016/j.ssi.2004.05.010
r99,La0.62 Li0.14(Mg0.5W0.5)O3,-4.920818753952375,perovskites,129.0,5.533,5.533,7.903,90.0,90.0,90.0,True,obelix,train,10.1016/j.ssi.2004.05.010
lol,Li4PS4I,-3.9208187539523753,thio-LISICON,129.0,8.48284,8.48284,5.93013,90.0,90.0,90.0,True,obelix,train,10.1021/acs.chemmater.7b00013
d7f,Li3BiO4,-9.387216143280265,oxides,136.0,8.75298,8.75298,4.22469,90.0,90.0,90.0,True,obelix,train,10.1016/j.ssi.2015.10.016
j8q,Li10GeP2S12,-1.91721462968355,LGPS,137.0,8.719,8.719,12.639,90.0,90.0,90.0,True,obelix,train,10.1039/c4ta05231e|10.1021/acs.chemmater.7b00886
824,Li10.35Ge1.35P1.65S12,-1.8416375079047504,LGPS,137.0,8.713023,8.713023,12.639695,90.0,90.0,90.0,True,obelix,train,10.1039/c4ta05231e
02p,Li10SiP2S12,-2.638272163982407,LGPS,137.0,8.6512,8.6512,12.5095,90.0,90.0,90.0,True,obelix,train,10.1149/2.0501412jes
9lx,Li10SnP2S12,-2.154901959985743,LGPS,137.0,8.7057,8.7057,12.7389,90.0,90.0,90.0,True,obelix,train,10.1021/ja407393y
mtn,Li10GeP2S12,-1.609064892896621,LGPS,137.0,8.71121,8.71121,12.6078,90.0,90.0,90.0,True,obelix,train,10.1021/acs.chemmater.8b00266
9rc,Li10(Ge0.776Sn0.224)P2S12,-1.85078088734462,LGPS,137.0,8.71859,8.71859,12.6514,90.0,90.0,90.0,True,obelix,train,10.1021/acs.chemmater.8b00266
13q,Li10SnP2S12,-2.4001169279263124,LGPS,137.0,8.73685,8.73685,12.7573,90.0,90.0,90.0,True,obelix,train,10.1021/acs.chemmater.8b00266
ik8,Li10(Ge0.416Sn0.584)P2S12,-2.1290111862394245,LGPS,137.0,8.72902,8.72902,12.7065,90.0,90.0,90.0,True,obelix,train,10.1021/acs.chemmater.8b00266
nip,Li9.81Sn0.81P2.19S12,-2.2596373105057563,LGPS,137.0,8.73764,8.73764,12.7166,90.0,90.0,90.0,True,obelix,train,10.1107/s2052520615022283
1hh,Li10GeP2S12,-1.9208187539523751,LGPS,137.0,8.69407,8.69407,12.5994,90.0,90.0,90.0,True,obelix,train,10.1038/nmat3066
8ub,Li10.5(Sn0.2Si0.8)1.5P1.5S12,-2.0560111249262283,LGPS,137.0,8.69204,8.69204,12.6166,90.0,90.0,90.0,True,obelix,train,10.1021/acs.chemmater.7b00886
7tu,Li10.2(Sn0.2Si0.8)1.2P1.8S12,-2.106793246940152,LGPS,137.0,8.65173,8.65173,12.5349,90.0,90.0,90.0,True,obelix,train,10.1021/acs.chemmater.7b00886
ui6,Li10.35(Sn0.27Si1.08)P1.65S12,-1.958607314841775,LGPS,137.0,8.67822,8.67822,12.5744,90.0,90.0,90.0,True,obelix,train,10.1021/acs.chemmater.7b00886
nkr,Li10GeP2S12,-2.844663962534938,LGPS,137.0,8.694,8.694,12.599,90.0,90.0,90.0,True,obelix,train,10.1016/j.ssi.2017.01.014
k4x,Li10.35Si1.35P1.65S12,-2.1870866433571443,LGPS,137.0,8.68385,8.68385,12.55589,90.0,90.0,90.0,True,obelix,train,10.1107/s2052520615022283
ia5,LiLaNb2O7,-8.0,perovskites,139.0,3.8798,3.8798,20.3597,90.0,90.0,90.0,True,obelix,train,10.1016/0925-8388(93)90192-p
sg0,LiScO2,-10.0,oxides,141.0,4.1791,4.1791,9.361,90.0,90.0,90.0,True,obelix,train,10.2320/matertrans.y-m2016816
97b,Li0.9Sc0.9Zr0.1O2,-10.0,oxides,141.0,4.1804,4.1804,9.4186,90.0,90.0,90.0,True,obelix,train,10.2320/matertrans.y-m2016816
wyu,Li7La3Zr2O12,-5.787812395596042,garnet,142.0,13.134,13.134,12.663,90.0,90.0,90.0,True,obelix,train,10.1016/j.jssc.2009.05.020
019,LiTi2(PO4)3,-3.7931741239681513,NASICON,168.0,8.5112,8.5112,20.8479,90.0,90.0,120.0,True,obelix,train,10.1021/ic400577v
yqu,Li1.2Ti1.8Al0.2(PO4)3,-2.3169529617611504,NASICON,148.0,8.502,8.502,20.818,90.0,90.0,120.0,True,obelix,train,10.1021/ic400577v
95j,Li3AlH6,-6.853871964321762,hydrides,148.0,8.07117,8.07117,9.513,90.0,90.0,120.0,True,obelix,train,10.1063/1.3356981
0iv,Li4P2S6,-6.623423042943488,thio-phosphate,162.0,6.075,6.075,6.595,90.0,90.0,120.0,True,obelix,train,10.1016/j.ssi.2015.10.015
2ro,Li4P2S6,-9.795880017344077,thio-phosphate,162.0,6.0773,6.0773,6.5985,90.0,90.0,120.0,True,obelix,train,10.1021/acs.chemmater.6b04175
deu,Li4.4Al0.4Ge0.6S4,-4.366531544420414,sulfides,164.0,7.9496,7.9496,6.1566,90.0,90.0,120.0,True,obelix,train,10.1021/acs.chemmater.8b03175
usu,Li4.4Al0.4Sn0.6S4,-5.366531544420414,sulfides,164.0,8.0184,8.0184,6.2856,90.0,90.0,120.0,True,obelix,train,10.1021/acs.chemmater.8b03175
ur9,LiZr2(PO4)3,-9.0,NASICON,167.0,8.847,8.847,22.24,90.0,90.0,120.0,True,obelix,train,10.1016/0025-5408(86)90194-7
0o6,Li1.2Ti1.8Sc0.2(PO4)3,-4.000869458712629,,167.0,8.527,8.527,20.924,90.0,90.0,120.0,True,obelix,train,10.1021/acs.inorgchem.6b02274
4ba,LiGe2(PO4)3,-6.47755576649368,NASICON,167.0,8.287,8.287,20.475,90.0,90.0,120.0,True,obelix,train,10.1002/chin.199345017
qea,LiTi2(PO4)3,-5.698970004336019,NASICON,167.0,8.512,8.512,20.858,90.0,90.0,120.0,True,obelix,train,10.1149/1.2086597
ldx,LiGe2(PO4)3,-8.316052869248487,NASICON,167.0,8.27059,8.27059,20.4652,90.0,90.0,120.0,True,obelix,train,10.1021/acsami.8b00842
0fh,Li1.2Al0.2Ge1.8(PO4)3,-4.316052869248487,NASICON,167.0,8.2619,8.2619,20.5656,90.0,90.0,120.0,True,obelix,train,10.1021/acsami.8b00842
gw2,Li1.4Al0.4Ge1.6(PO4)3,-3.72584215073632,NASICON,167.0,8.25565,8.25565,20.6319,90.0,90.0,120.0,True,obelix,train,10.1021/acsami.8b00842
1xf,Li1.5Al0.5Ge1.5(PO4)3,-3.473660722610156,NASICON,167.0,8.25658,8.25658,20.6523,90.0,90.0,120.0,True,obelix,train,10.1021/acsami.8b00842
tjh,Li1.7Al0.7Ge1.3(PO4)3,-3.5783960731301687,NASICON,167.0,8.25247,8.25247,20.6936,90.0,90.0,120.0,True,obelix,train,10.1021/acsami.8b00842
8fn,Li1.8Al0.8Ge1.2(PO4)3,-3.863279432843593,NASICON,167.0,8.25004,8.25004,20.7062,90.0,90.0,120.0,True,obelix,train,10.1021/acsami.8b00842
my9,Li1.2Al0.2Ti1.8(PO4)3,-3.2254830342714502,NASICON,167.0,8.5042,8.5042,20.8252,90.0,90.0,120.0,True,obelix,train,10.1149/1.2086597
9s4,Li1.3Al0.3Ti1.7(PO4)3,-3.141462802430361,NASICON,167.0,8.5004,8.5004,20.8156,90.0,90.0,120.0,True,obelix,train,10.1149/1.2086597
iqt,Li1.4Al0.4Ti1.6(PO4)3,-3.4111682744057927,NASICON,167.0,8.4955,8.4955,20.7992,90.0,90.0,120.0,True,obelix,train,10.1149/1.2086597
xa0,Li1.5Al0.5Ti1.5(PO4)3,-3.605548319173784,NASICON,167.0,8.4935,8.4935,20.7994,90.0,90.0,120.0,True,obelix,train,10.1149/1.2086597
pg8,Li1.5Fe0.5Ti1.5(PO4)3,-3.7594507517174,NASICON,167.0,8.5367,8.5367,20.8932,90.0,90.0,120.0,True,obelix,train,10.1149/1.2086597
h7r,Li(Ti1.4Sn0.6)(PO4)3,-4.642065152999546,NASICON,167.0,8.5491,8.5491,21.0473,90.0,90.0,120.0,True,obelix,train,10.1016/j.physb.2011.11.006
9ky,Li(Ti0.6Sn1.4)(PO4)3,-5.025949097207123,NASICON,167.0,8.5983,8.5983,21.2868,90.0,90.0,120.0,True,obelix,train,10.1016/j.physb.2011.11.006
4ea,Li(Ti0.4Sn1.6)(PO4)3,-5.501689446210399,NASICON,167.0,8.6121,8.6121,21.3574,90.0,90.0,120.0,True,obelix,train,10.1016/j.physb.2011.11.006
z7n,Li0.86Hf2.035(PO4)3,-7.036212172654444,NASICON,167.0,8.8306,8.8306,22.027,90.0,90.0,120.0,True,obelix,train,10.1021/cm970078n
lap,Li1.3Al0.3Ti1.7(PO4)3,-2.9469215565165805,NASICON,167.0,8.5012,8.5012,20.8416,90.0,90.0,120.0,True,obelix,train,10.1016/j.ssi.2012.03.045
yp3,LiTi2(PO4)3,-4.221848749616356,NASICON,167.0,8.5087,8.5087,20.9089,90.0,90.0,120.0,True,obelix,train,10.1016/j.ssi.2014.07.018
mg4,Li1.3Al0.3Ti1.7(PO4)3,-2.207608310501746,NASICON,167.0,8.4941,8.4941,20.8586,90.0,90.0,120.0,True,obelix,train,10.1016/j.ssi.2014.07.018
3uq,Li1.3Al0.3Ge1.7(PO4)3,-4.084072788302884,NASICON,167.0,8.26189,8.26189,20.5646,90.0,90.0,120.0,True,obelix,train,10.1021/acsami.8b00842
1dm,Li1.6Al0.6Ge1.4(PO4)3,-3.5466816599529625,NASICON,167.0,8.2526,8.2526,20.6831,90.0,90.0,120.0,True,obelix,train,10.1021/acsami.8b00842
vg0,Li1.5Al0.5Ge1.5(PO4)3,-3.721246399047171,NASICON,167.0,8.2828,8.2828,20.5014,90.0,90.0,120.0,True,obelix,train,10.1016/j.jeurceramsoc.2014.11.023
z9y,Li1.2Al0.2Ti1.8(PO4)3,-2.4710832997223453,NASICON,167.0,8.502,8.502,20.818,90.0,90.0,120.0,True,obelix,train,10.1016/j.jeurceramsoc.2014.11.023
ym6,Li1.3Al0.3Ti1.7(PO4)3,-2.91721462968355,NASICON,167.0,8.5033,8.5033,20.8312,90.0,90.0,120.0,True,obelix,train,10.1016/j.ssi.2014.07.018|10.1016/j.ssi.2016.07.010
qno,LiTi2(PO4)3,-6.416801226031377,NASICON,167.0,8.509,8.509,20.853,90.0,90.0,120.0,True,obelix,train,10.1021/jp973296c
rr5,LiTi2(PO4)3,-4.142667503568732,NASICON,167.0,8.5135,8.5135,20.8705,90.0,90.0,120.0,True,obelix,train,10.1007/s11164-013-1348-0
lpx,Li1.15Y0.15Zr1.85(PO4)3,-4.1487416512809245,NASICON,167.0,8.8727,8.8727,22.1578,90.0,90.0,120.0,True,obelix,train,10.1016/j.jpowsour.2013.03.175
yq2,Li1.1Al0.1Ti1.9(PO4)3,-4.522878745280337,NASICON,167.0,8.508,8.508,20.855,90.0,90.0,120.0,True,obelix,train,10.1016/s0955-2219(99)00055-2
kab,Li1.3Al0.3Ti1.7(PO4)3,-4.425968732272281,NASICON,167.0,8.498,8.498,20.896,90.0,90.0,120.0,True,obelix,train,10.1016/S0955-2219(99)00055-2
dc8,Li9Mg3(PO4)4F3,-10.0,fluorophosphates,173.0,12.6159,12.6159,5.0082,90.0,90.0,120.0,True,obelix,train,10.1039/c3ta15264b
hai,Pb6.12Ca1.9Li1.96(PO4)6,-10.0,phosphates,176.0,9.679,9.679,7.113,90.0,90.0,120.0,True,obelix,train,10.1006/jssc.2002.9596
tvf,Li3(NH2)2I,-5.0,hydrides,186.0,7.09109,7.09109,11.50958,90.0,90.0,120.0,True,obelix,train,10.1021/cm1006857
u8r,Ba3LiTa5ZrSi4O26,-10.0,oxides,189.0,9.0495,9.0495,7.8198,90.0,90.0,120.0,True,obelix,train,10.1016/j.ssi.2015.08.011
gvd,Li3N,-3.2390500485891027,nitrides,191.0,3.648,3.648,3.875,90.0,90.0,120.0,True,obelix,train,10.1039/c0ee00052c
uex,Fe2Na2K(Li3Si12O30),-10.0,sugilites,192.0,10.0617,10.0617,14.0832,90.0,90.0,120.0,True,obelix,train,10.1016/j.jssc.2018.05.008
11b,Li3P,-3.153044674980176,phosphates,194.0,4.273,4.273,7.594,90.0,90.0,120.0,True,obelix,train,10.1016/0167-2738(89)90438-4
fft,Li3N,-3.680893940690224,nitrides,194.0,3.552,3.552,6.311,90.0,90.0,120.0,True,obelix,train,10.1016/0167-2738(83)90045-0
68u,Li5La3Nb2O12,-5.096910013008056,garnet,199.0,12.762,12.762,12.762,90.0,90.0,90.0,True,obelix,train,10.1111/j.1551-2916.2005.00060.x
vy5,(K0.1Li0.9)(SbO3),-7.866461091629782,oxides,201.0,9.681,9.681,9.681,90.0,90.0,90.0,True,obelix,train,10.1016/0167-2738(81)90178-8
rwr,Li8GeP4,-4.7447274948966935,phosphates,205.0,11.80203,11.80203,11.80203,90.0,90.0,90.0,True,obelix,train,10.1021/acs.chemmater.8b02759
pql,Li8SiP4,-4.346787486224656,phosphates,205.0,11.70737,11.70737,11.70737,90.0,90.0,90.0,True,obelix,train,10.1021/acs.chemmater.8b02759
dl7,Li2MgTi3O8,-10.0,oxides,212.0,8.3774,8.3774,8.3774,90.0,90.0,90.0,True,obelix,train,10.1039/a800234g
i12,Li2CoTi3O8,-10.0,oxides,212.0,8.3766,8.3766,8.3766,90.0,90.0,90.0,True,obelix,train,10.1039/a800234g
aui,Li2CoGe3O8,-10.0,oxides,212.0,8.2098,8.2098,8.2098,90.0,90.0,90.0,True,obelix,train,10.1039/a800234g
mfs,Li2ZnGe3O8,-10.0,oxides,212.0,8.1961,8.1961,8.1961,90.0,90.0,90.0,True,obelix,train,10.1039/a800234g
jl4,(Li0.61Mg0.39)(Li0.46Mg0.005Ti0.035)Ti1.5O4,-9.18309616062434,oxides,212.0,8.3792,8.3792,8.3792,90.0,90.0,90.0,True,obelix,train,10.1016/j.ssi.2010.06.003
jkq,(Li0.55Mg0.45)(Li0.445Mg0.055)Ti1.5O4,-10.8153085691824,oxides,212.0,8.3806,8.3806,8.3806,90.0,90.0,90.0,True,obelix,train,10.1016/j.ssi.2010.06.003
yav,Li2VCl4,-5.158015195409886,cholorides,216.0,10.377,10.377,10.377,90.0,90.0,90.0,True,obelix,train,10.1016/0167-2738(83)90223-0
9yt,Li6PS5Cl0.25Br0.75,-2.7304870557820835,argyrodites,216.0,9.953,9.953,9.953,90.0,90.0,90.0,True,obelix,train,10.1021/jacs.7b06327
122,Li6PS5Cl,-2.688246138944246,argyrodites,216.0,9.898,9.898,9.898,90.0,90.0,90.0,True,obelix,train,10.1021/jacs.7b06327
ij5,Li6PS5Cl0.5Br0.5,-2.4775557664936803,argyrodites,216.0,9.952,9.952,9.952,90.0,90.0,90.0,True,obelix,train,10.1021/jacs.7b06327
