id,largest_included_sphere,largest_free_sphere,largest_included_along_free,unitcell_volume,density,poav_vol_frac,poav_cm3g,ponav_vol_frac,ponav_cm3g
bv2,0.29314,0.00000,0.29314,205.987,4.12244,0,,0,
c0g,0.60804,0.00000,0.60804,2107.29,7.03752,0,,0,
c6h,1.67135,0.59309,1.67135,913.558,2.92646,0,,0.0027,
ckw,1.10099,0.82561,1.10099,1154.62,4.23199,0,,0,
clt,0.88726,0.07245,0.88726,201.138,2.54628,0,,0,
cti,0.62984,0.00000,0.62984,2112.23,5.91364,0,,0,
cy2,0.11942,0.00000,0.11942,116.644,6.68434,0,,0,
cz2,1.72414,0.77495,1.72414,793.051,2.35919,0,,0.0026,
d7f,0.09021,0.00000,0.09021,323.094,6.03991,0,,0,
dae,0.63775,0.00000,0.63775,2123.06,6.98524,0,,0,
deu,1.49264,0.75273,1.49264,336.723,2.59734,0,,0,
dl7,0.46008,0.07243,0.46007,587.933,3.30356,0,,0,
dlj,0.74329,0.00000,0.64557,1015.74,2.89714,0,,0,
dmq,1.60975,0.42486,1.60975,1013.63,2.0692,0,,0,
dnt,1.67394,0.55275,1.67394,905.613,2.92391,0,,0.0027,
dth,0.34801,0.00000,0.34801,345.606,3.159,0,,0,
duf,0.91072,0.00000,0.91072,2160.8,2.94207,0,,0,
dvb,0.62660,0.00000,0.62660,2107.79,5.9261,0,,0,
e6a,0.64555,0.00000,0.64555,2189.66,5.43146,0,,0,
e6b,1.35008,0.69623,1.31413,670.47,2.33381,0,,0,
e81,0.68667,0.00000,0.68667,1146.06,6.80136,0,,0,
ecp,0.39571,0.00000,0.39571,208.403,5.66823,0,,0,
ei3,1.87489,0.25972,0.98647,658,2.94247,0,,0,
ek5,1.14801,0.13729,1.14801,1151.59,3.63011,0,,0,
elz,1.73064,0.49950,1.73064,535.072,3.87215,0,,0,
etz,0.68199,0.00000,0.68199,2184.4,5.44453,0,,0,
fam,0.63551,0.00000,0.63551,2119.99,6.99536,0,,0,
g5q,0.57964,0.00000,0.57964,2157.49,5.51244,0,,0,
ga9,1.26135,0.76783,1.26135,1610.01,1.90195,0,,0,
gas,0.31242,0.00000,0.31242,58.6145,2.91245,0,,0,
gcj,0.59060,0.00000,0.59060,2058.97,5.7979,0,,0,
gdr,0.65745,0.00000,0.65745,2150.24,5.53104,0,,0,
gkl,0.56832,0.00000,0.56832,2094.36,5.96409,0,,0,
gw2,0.44072,0.05772,0.44072,1217.79,3.91658,0,,0,
gwu,0.30130,0.08057,0.30130,56.9422,5.44664,0,,0,
gz8,0.62515,0.00000,0.62515,2105.81,7.04246,0,,0,
h5i,1.88169,0.05362,1.88169,120.487,5.79819,0,,0.0187,
h6c,0.54090,0.00000,0.54090,170.425,2.64558,0,,0,
h7r,1.71073,0.80185,1.71073,1332.2,2.89867,0,,0.0089,
h89,0.68102,0.00000,0.68102,2195.61,6.22183,0,,0,
hbz,0.61336,0.00000,0.61336,998.381,3.16085,0,,0,
hcm,0.69264,0.22456,0.69264,2108.48,6.33387,0,,0,
hja,1.19191,0.05656,1.19191,323.218,3.42934,0,,0,
hta,0.09136,0.00000,0.09136,116.248,6.70712,0,,0,
hud,0.69133,0.00000,0.69133,2197.51,6.46821,0,,0,
i12,0.45160,0.09952,0.45160,587.764,3.30451,0,,0,
i4l,1.69054,0.84043,1.69054,753.076,2.20025,0,,0.0024,
ia5,1.64246,0.02897,1.64246,306.471,4.88285,0,,0.0137,
ik8,2.04004,0.00000,2.04004,968.182,2.35287,0,,0.0117,
ipo,0.59247,0.00000,0.59247,2169.34,6.21107,0,,0,
iqt,0.71104,0.19104,0.71104,1300.2,3.28912,0,,0,
ix1,1.41183,0.17027,1.39920,1487.53,5.7737,0,,0,
j5g,0.61270,0.00000,0.61270,2153.49,5.80034,0,,0,
j8q,1.74506,0.00000,1.12721,960.829,2.32289,0,,0.0056,
jej,0.57741,0.00000,0.57741,2060.5,5.01736,0,,0,
jkq,0.47422,0.07935,0.47422,588.607,3.29978,0,,0,
jl4,0.46784,0.05453,0.46784,588.312,3.30143,0,,0,
jqc,0.29223,0.00000,0.18562,133.959,4.46873,0,,0,
ka6,0.62515,0.00000,0.62515,2105.81,7.04246,0,,0,
kab,0.97006,0.09990,0.96207,1304.71,2.95879,0,,0,
kbo,1.66647,0.53870,1.52880,942.521,3.53076,0,,0.0022,
kbq,0.71450,0.00000,0.71450,2230.22,6.73549,0,,0,
kbu,0.62995,0.00000,0.62995,2112.38,7.02058,0,,0,
kfp,1.23325,0.54207,1.04990,1230.37,3.51064,0,,0,
kh3,0.67094,0.00000,0.67094,2168.98,5.86584,0,,0,
kji,0.65853,0.00000,0.65853,2151.74,5.52718,0,,0,
klr,1.52906,0.70301,1.52906,766.145,2.44204,0,,0,
kmv,1.16962,0.29077,1.12563,700.551,2.80231,0,,0,
kop,1.98381,0.00000,1.98381,958.172,2.42557,0,,0.0132,
ku9,2.48167,0.91855,2.48167,119.674,5.8376,0,,0.0922,
kxw,2.16696,1.30710,2.16696,1510.35,3.37476,0,,0.0164,
l6h,0.67582,0.00000,0.67582,2175.77,5.46611,0,,0,
l9r,0.58588,0.00000,0.58588,2052.63,4.76708,0,,0,
l9v,0.85771,0.01018,0.85771,1171.52,2.75195,0,,0,
lap,0.80685,0.14554,0.80685,1304.32,2.95967,0,,0,
ldx,1.49228,0.50402,1.49228,1212.33,3.59197,0,,0,
liv_2005,1.61510,0.00000,1.61510,1096.03,5.37496,0,,0,
liv_2008,1.63180,0.28396,1.63180,924.214,2.99994,0,,0,
liv_2024,1.53221,0.31617,1.42626,983.706,3.75742,0,,0,
liv_2025,1.86528,0.01221,1.86528,274.947,2.30174,0,,0.0093,
liv_2030,1.90680,0.00326,1.90680,272.895,2.33783,0,,0.0103,
liv_24,0.70035,0.00000,0.70035,1112.63,5.01308,0,,0,
liv_250,1.52282,0.45133,1.52265,421.261,3.44572,0,,0,
liv_313,1.63628,0.99866,1.63628,902.911,2.85122,0,,0,
liv_35,1.63628,0.99866,1.63628,902.911,2.85122,0,,0,
liv_37,2.33365,0.74289,1.96388,988.996,1.97707,0,,0.0264,
liv_387,2.25070,1.23532,2.25070,521.632,3.01972,0,,0.0895,
liv_391,2.25070,1.23532,2.25070,521.632,3.01972,0,,0.0895,
liv_409,1.67394,0.55275,1.67394,905.613,2.92391,0,,0.0027,
liv_410,1.67135,0.59309,1.67135,913.558,2.92646,0,,0.0027,
liv_411,1.81886,0.83344,1.81886,972.926,3.04389,0,,0.0139,
liv_441,1.52282,0.45133,1.52265,421.261,3.44572,0,,0,
liv_495,1.65056,0.41510,1.65056,361.546,2.89822,0,,0.02,
liv_504,0.24943,0.00000,0.24943,61.5664,3.14828,0,,0,
liv_534,1.63628,0.99866,1.63628,902.911,2.85122,0,,0,
liv_535,2.25070,1.23532,2.25070,521.632,3.01972,0,,0.0895,
liv_542,0.84609,0.06146,0.84609,342.875,2.62995,0,,0,
liv_555,0.33183,0.00000,0.33183,170.011,3.21088,0,,0,
liv_582,1.15679,0.58019,1.15679,538.085,2.22103,0,,0,
liv_587,1.10404,0.67490,1.10404,199.623,0.724831,0,,0,
liv_705,0.33183,0.00000,0.33183,170.011,3.21088,0,,0,
liv_706,2.47909,0.41895,1.90310,1208.01,4.19057,0,,0.0453,
liv_708,1.20875,0.27009,1.20875,53.1501,4.18165,0,,0,
liv_712,1.79202,0.52423,1.73523,992.077,2.64892,0,,0.0063,
liv_714,0.87520,0.00000,0.87520,239.75,4.67618,0,,0,
liv_716,0.84609,0.06146,0.84609,342.875,2.62995,0,,0,
liv_718,1.28513,0.67787,1.28513,618.978,0.973029,0,,0,
liv_730,1.21511,0.00000,1.21511,467.002,2.35306,0,,0,
liv_733,1.53882,0.00000,1.53060,1070.57,5.14474,0,,0,
liv_775,0.70035,0.00000,0.70035,1112.63,5.01308,0,,0,
liv_776,0.64304,0.00000,0.64304,1067.88,6.30874,0,,0,
liv_781,1.41997,0.62844,1.41996,667.551,2.27496,0,,0,
liv_789,1.50206,0.59565,1.50206,709.342,2.5726,0,,0,
liv_867,0.70035,0.00000,0.70035,1112.63,5.01308,0,,0,
liv_95,0.67379,0.38771,0.67379,1125.99,5.93026,0,,0,
liv_96,0.67379,0.38771,0.67379,1125.99,5.93026,0,,0,
lk8,0.06198,0.00000,0.06198,57.9471,6.72759,0,,0,
lkm,0.56777,0.00000,0.56776,608.087,3.26445,0,,0,
lol,0.26401,0.00000,0.26401,426.725,2.8752,0,,0,
lpx,1.22958,0.23028,1.22958,1510.68,3.49432,0,,0,
lrh,1.57384,0.33655,1.38471,882.49,3.06797,0,,0,
lud,0.05514,0.00000,0.05514,57.5885,6.76949,0,,0,
lxk,0.97472,0.00000,0.97472,1087.99,3.28438,0,,0,
mde,1.18673,0.19804,1.18673,704.703,2.21306,0,,0,
me3,0.44170,0.00000,0.44170,208.631,5.66203,0,,0,
mfs,0.34480,0.00000,0.34480,550.582,4.42316,0,,0,
mfu,1.24784,0.25036,1.15555,937.277,4.63668,0,,0,
mg4,1.47814,0.38243,1.47814,1302.89,2.96388,0,,0,
mn3,1.54293,0.73835,1.54293,820.152,3.80035,0,,0,
mq1,1.32547,0.77512,1.32547,347.443,2.58892,0,,0,
mtn,2.07876,0.00000,2.07876,956.745,2.381,0,,0.011,
mtr,0.68408,0.00000,0.68408,2186.02,5.18742,0,,0,
my9,0.64575,0.14513,0.64575,1305.11,3.27676,0,,0,
n27,0.42811,0.00000,0.42521,148.716,2.22199,0,,0,
na5,1.55698,0.99978,1.55698,2422.98,3.11584,0,,0,
ner,0.68917,0.00000,0.68917,2194.47,6.47718,0,,0,
nkr,2.33365,0.74289,1.96388,988.996,1.97707,0,,0.0264,
nua,1.40558,0.00000,1.40558,171.635,4.9866,0,,0,
o0a,1.60192,0.73425,1.60192,788.918,3.67956,0,,0,
o5q,0.67105,0.00000,0.67105,2169.13,5.48285,0,,0,
o9h,1.90414,0.32077,1.90414,121.06,5.77075,0,,0.0304,
oi6,0.21857,0.00000,0.21857,127.469,3.56006,0,,0,
ozo,2.11639,0.72732,2.11639,120.395,5.80264,0,,0.051,
p81,1.73827,1.03775,1.73827,590.947,1.97523,0,,0.012,
p9u,1.07529,0.00000,0.82033,1043.01,2.82208,0,,0,
pa1,0.15699,0.00000,0.15699,1072.09,3.43356,0,,0,
pbz,0.19503,0.00000,0.19503,351.288,3.76411,0,,0,
pe2,0.98164,0.19922,0.94802,1183.37,5.4968,0,,0,
pg8,0.65001,0.00000,0.65001,1320.17,3.67411,0,,0,
pwr,0.00000,0.00000,-0.11726,165.282,3.10546,0,,0,
qa9,0.00000,0.00000,-0.18538,113.399,1.74689,0,,0,
qbb,0.35673,0.00000,0.35673,66.7258,2.90484,0,,0,
qea,1.63628,0.99866,1.63628,902.911,2.85122,0,,0,
qer,1.53350,0.92036,1.52382,798.966,3.63328,0,,0,
qno,1.31402,0.07530,1.31402,1307.9,3.26977,0,,0,
qy4,0.99489,0.00000,0.99489,1487.21,2.17968,0,,0,
r99,0.15836,0.00000,0.15836,241.943,7.98826,0,,0,
ro9,0.75961,0.24723,0.75961,279.065,2.63689,0,,0,
rr5,1.63787,0.52669,1.63787,1309.88,2.94805,0,,0.0053,
rty,2.09987,0.00000,2.09987,964.347,2.41004,0,,0.0106,
rwr,1.29044,0.00000,1.29044,1643.88,2.0367,0,,0,
s2v,0.68615,0.00000,0.68615,2185.31,5.1891,0,,0,
s3h,0.06649,0.00000,0.06649,115.944,6.72473,0,,0,
sg0,0.00000,0.00000,-0.04246,163.489,3.40845,0,,0,
sib,0.14326,0.00000,0.14326,242.031,7.98537,0,,0,
skm,0.83764,0.00000,0.83764,231.472,4.64405,0,,0,
sqm,0.64441,0.00000,0.64441,2154.33,6.34104,0,,0,
t0h,0.03481,0.00000,0.03481,244.404,4.16088,0,,0,
tbj,0.63564,0.00000,0.63564,2120.17,5.99214,0,,0,
tjh,0.55770,0.14647,0.41315,1220.49,3.90791,0,,0,
tvf,1.23389,0.60595,1.23389,501.206,2.38909,0,,0,
tws,1.01800,0.00000,1.01800,628.034,3.55449,0,,0,
u2y,0.13243,0.00000,0.13243,116.185,6.71073,0,,0,
uaz,0.51941,0.00000,0.51941,2055.75,5.807,0,,0,
ueu,0.62570,0.00000,0.62570,2162.05,5.50081,0,,0,
uex,1.61375,0.13033,1.61375,1234.74,2.90643,0,,0.0047,
ur9,1.88220,0.70058,1.88220,1507.5,3.13469,0,,0.0276,
uu4,0.72174,0.27545,0.72174,471.226,2.98486,0,,0,
uw9,0.70883,0.00000,0.70883,2242.59,6.69836,0,,0,
uwh,0.55166,0.00000,0.55166,2115.04,5.62306,0,,0,
vg0,1.39489,0.31024,1.39489,1216.4,3.57996,0,,0,
vlm,0.05318,0.00000,0.05318,57.4856,6.7816,0,,0,
vqu,0.56914,0.00000,0.56914,2030.23,6.36228,0,,0,
vwy,0.09316,0.00000,0.09316,116.256,6.70669,0,,0,
vy5,1.51096,0.21115,1.51096,907.32,3.88062,0,,0,
vzu,1.81886,0.83344,1.81886,972.926,3.04389,0,,0.0139,
wa3,0.65686,0.00000,0.65686,2176.28,7.44127,0,,0,
wgw,1.12646,0.00000,1.12646,406.922,5.38516,0,,0,
wyu,0.67523,0.00000,0.67523,2183.83,5.10818,0,,0,
x2i,1.09241,0.67310,1.01580,469.694,7.01187,0,,0,
xa0,0.80743,0.27775,0.80743,1299.16,3.13207,0,,0,
xas,0.91510,0.01755,0.91510,866.65,3.50697,0,,0,
xk3,1.62602,0.83918,1.62602,779.34,3.72477,0,,0,
xog,0.63024,0.00000,0.63024,2125.1,5.97824,0,,0,
xq3,0.96404,0.00000,0.96404,406.081,5.39631,0,,0,
xut,0.62113,0.00000,0.62113,1145.76,6.80312,0,,0,
xz4,1.22655,0.04186,1.22655,325.855,3.40158,0,,0,
y2l,1.24655,0.19635,0.42534,335.854,1.87832,0,,0,
yab,1.09169,0.81682,1.09169,1147.3,5.27838,0,,0,
ym6,1.07762,0.06438,0.30026,1305.45,3.2759,0,,0,
yp3,1.63628,0.99866,1.63628,902.911,2.85122,0,,0,
yq2,0.63483,0.03031,0.63483,1307.73,3.27018,0,,0,
yqu,0.84105,0.00000,0.84105,1300.23,3.28905,0,,0,
ysm,0.61635,0.00000,0.61635,1152.88,4.73214,0,,0,
ywe,1.17007,0.00000,1.17007,1055.29,2.78923,0,,0,
z2s,0.62450,0.00000,0.62450,2104.93,5.75108,0,,0,
z7n,1.47069,0.48691,1.47069,1487.53,5.7737,0,,0,
z9y,0.59818,0.06519,0.56387,1303.45,2.96164,0,,0,
zs0,0.34496,0.00000,0.34496,208.442,5.66717,0,,0,
zv5,1.58162,0.80399,1.58162,724.25,2.28783,0,,0,
zxr,0.62967,0.00000,0.62967,2112,5.53019,0,,0,
zzr,2.17946,0.00000,1.75483,949.694,2.44722,0,,0.011,
