id,composition,log_conductivity,family,space_group_num,a,b,c,alpha,beta,gamma,has_cif,source,split,doi
mq1,Li3SbS4,-8.318758762624412,thio-LISICON,31.0,7.9645,6.8404,6.3774,90.0,90.0,90.0,True,obelix,train,10.1016/j.ssi.2019.01.017
ssv,Li3P0.2V0.8O4,-12.882728704344236,LISICON,31.0,6.282,5.4021,4.9289,90.0,90.0,90.0,False,obelix,train,10.1021/acs.chemmater.8b01504
h6c,Li3VO4,-13.036212172654444,LISICON,31.0,6.3278,5.4448,4.9467,90.0,90.0,90.0,True,obelix,train,10.1021/acs.chemmater.8b01504
bsa,LiGaO2,-13.619788758288394,oxides,33.0,5.402,6.372,5.007,90.0,90.0,90.0,True,obelix,train,10.1007/bf00549810
mde,LiB6O9F,-10.0,fluorooxoborate,33.0,7.65545,8.53175,10.7894,90.0,90.0,90.0,True,obelix,train,10.1002/zaac.200900056
1e9,Li3SbS3,-9.0,sulfides,33.0,7.9671,6.7883,10.0912,90.0,90.0,90.0,True,obelix,train,10.1002/zaac.201200277
an2,Li6SiO4Cl2,-10.0,argyrodite,33.0,10.5204,6.0756,9.953,90.0,90.0,90.0,True,obelix,train,10.1021/acs.chemmater.1c00157
tka,LiSi2N3,-7.209714835966758,nitride,36.0,9.186,5.302,4.776,90.0,90.0,90.0,True,obelix,train,10.1016/0167-2738(87)90119-6
cdk,Li2(PO2N),-10.0,LIPON,36.0,9.0692,5.3999,4.6856,90.0,90.0,90.0,True,obelix,train,10.1016/j.ssi.2012.12.013
fwz,Li2SiS3,-5.698970004336019,thio-LISICON,36.0,6.735,11.664,5.926,90.0,90.0,90.0,True,obelix,train,10.1016/0025-5408(89)90053-6
hln,LiGa2GeS6,-7.42021640338319,sulfides,43.0,11.943,22.59,6.805,90.0,90.0,90.0,False,obelix,train,10.1016/j.ssi.2014.04.015
cy2,La0.64Li0.08TiO3,-3.474955192963155,perovskites,47.0,3.8753,3.8638,7.7901,90.0,90.0,90.0,True,obelix,train,10.1016/s0167-2738(00)00761-x
5tl,La0.62Li0.14TiO3,-3.354577730650908,perovskites,47.0,3.8757,3.8655,7.7845,90.0,90.0,90.0,True,obelix,train,10.1016/s0167-2738(00)00761-x
u2y,La0.595Li0.215TiO3,-3.0690509688324767,perovskites,47.0,3.8671,3.8654,7.7727,90.0,90.0,90.0,True,obelix,train,10.1016/s0167-2738(00)00761-x
kxh,Pr0.56Li0.34TiO3.01,-6.0,perovskites,47.0,3.8372,3.8372,7.701,90.0,90.0,90.0,False,obelix,train,10.1016/0167-2738(94)90310-7
3we,Nd0.55Li0.34TiO3,-7.096910013008056,perovskites,47.0,3.8204,3.823,7.679,90.0,90.0,90.0,False,obelix,train,10.1016/0167-2738(94)90310-7
5z0,Li5AlO4,-9.30102999566398,oxides,61.0,9.08,8.94,9.13,90.0,90.0,90.0,True,obelix,train,10.1016/0025-5408(76)90169-0
472,Li14Nd5(Si11N19O5)O2F2,-9.769551078621726,nitridosilicates,59.0,17.126,7.6155,10.123,90.0,90.0,90.0,True,obelix,train,10.1021/ja302255d
9zk,Li5GaO4,-8.301029995663981,oxides,61.0,9.173,9.094,9.202,90.0,90.0,90.0,True,obelix,train,10.1016/0025-5408(76)90169-0
dnt,Li2CrTi(PO4)3,-6.355561410532162,NASICON,61.0,8.461,8.688,23.83,90.0,90.0,90.0,True,obelix,train,10.1016/s0167-2738(96)00565-6
g5g,Li2CrZr(PO4)3,-6.228412519118745,NASICON,61.0,8.596,8.787,24.21,90.0,90.0,90.0,False,obelix,train,10.1016/s0167-2738(96)00565-6
hpu,Li2CrHf(PO4)3,-7.376750709602099,NASICON,61.0,8.598,8.816,24.21,90.0,90.0,90.0,False,obelix,train,10.1016/s0167-2738(96)00565-6
c6h,Li2FeTi(PO4)3,-6.476253533188435,NASICON,61.0,8.452,8.672,23.62,90.0,90.0,90.0,True,obelix,train,10.1016/s0167-2738(96)00565-6
vzu,Li2FeZr(PO4)3,-6.841637507904751,NASICON,61.0,8.47,8.72,23.8,90.0,90.0,90.0,True,obelix,train,10.1016/s0167-2738(96)00565-6
a3e,Li2InHf(PO4)3,-7.562249437179612,NASICON,61.0,8.757,8.954,24.28,90.0,90.0,90.0,False,obelix,train,10.1016/s0167-2738(96)00565-6
ubi,Li2InTi(PO4)3,-5.080921907623926,NASICON,61.0,8.577,8.826,24.05,90.0,90.0,90.0,False,obelix,train,10.1016/s0167-2738(96)00565-6
9z8,Li2InZr(PO4)3,-7.0851281824599495,NASICON,61.0,8.761,8.979,24.2,90.0,90.0,90.0,False,obelix,train,10.1016/s0167-2738(96)00565-6
nhq,Li3PS4,-6.049148541111453,thio-LISICON,62.0,13.066,8.015,6.101,90.0,90.0,90.0,True,obelix,train,10.1021/ja3110895
w7d,Li3PO4,-17.3767507096021,LISICON,62.0,6.1113,10.4612,4.9208,90.0,90.0,90.0,True,obelix,train,10.1006/jssc.1995.1140
fj5,Li6.5O8P1.5Si0.5,-6.347753658996677,LISICON,62.0,10.52587,6.11525,4.97031,90.0,90.0,90.0,True,obelix,train,10.1021/jacs.5b04444
gxz,Li4Zn(PO4)2,-10.0,phosphates,62.0,10.2974,6.5021,5.0011,90.0,90.0,90.0,True,obelix,train,10.1021/acs.chemmater.7b05139
tbu,Li3.5Zn0.5Ga0.5(PO4)2,-10.0,phosphates,62.0,10.08925,6.5108,4.935878,90.0,90.0,90.0,True,obelix,train,10.1021/acs.chemmater.7b05139
uxo,Li2.88PO3.73N0.14,-12.853871964321762,LISICON,62.0,6.1153,10.469,4.9195,90.0,90.0,90.0,True,obelix,train,10.1006/jssc.1995.1140
e6b,Li4GeS4,-6.698970004336019,thio-LISICON,62.0,14.07,7.75,6.15,90.0,90.0,90.0,True,obelix,train,10.1016/s0167-2738(00)00277-0
pbz,Li3.75Ge0.75V0.25O4,-5.247183568811729,LISICON,62.0,10.896,6.2516,5.1571,90.0,90.0,90.0,True,obelix,train,10.1023/a:1026135806929
7ek,Li3.70Ge0.85W0.15O4,-4.42021640338319,LISICON,62.0,10.938,6.274,5.1609,90.0,90.0,90.0,True,obelix,train,10.1023/a:1026135806929
86k,Li0.2Ca0.4TaO3,-8.452225294612177,perovskites,62.0,5.477,7.75,5.479,90.0,90.0,90.0,False,obelix,train,10.1016/j.solidstatesciences.2004.05.006
kmv,Li4SnS4,-4.154901959985743,Chalcogenidotetrelates,62.0,13.812,7.9624,6.367,90.0,90.0,90.0,True,obelix,train,10.1021/cm3011315
n7a,Li2.5Y0.5Zr0.5Cl6,-2.853871964321762,halides,62.0,12.0389,11.1664,6.4069,90.0,90.0,90.0,False,obelix,train,10.1021/acsenergylett.9b02599
i6k,Sm0.52Li0.38TiO2.97,-6.698970004336019,perovskites,62.0,5.34,7.619,5.441,90.0,90.0,90.0,False,obelix,train,10.1016/0167-2738(94)90310-7
x94,Li4SiS4,-7.30715308072277,thio-LISICON,62.0,13.735,7.769,6.147,90.0,90.0,90.0,False,obelix,train,10.1016/0025-5408(89)90053-6
e6e,Li3.2Ge0.2P0.8O4,-5.943095148663527,LISICON,62.0,10.5562,6.1319,4.9769,90.0,90.0,90.0,False,obelix,train,10.1021/acs.chemmater.8b01504
ylh,Li3.2Ge0.2V0.8O4,-4.721246399047171,LISICON,62.0,10.8685,6.2984,5.1017,90.0,90.0,90.0,False,obelix,train,10.1021/acs.chemmater.8b01504
eij,Li3.4Ge0.4P0.6O4,-5.346787486224656,LISICON,62.0,10.6305,6.1639,5.0266,90.0,90.0,90.0,False,obelix,train,10.1021/acs.chemmater.8b01504
ldd,Li3.4Ge0.4V0.6O4,-6.051098239029787,LISICON,62.0,10.8697,6.2784,5.1181,90.0,90.0,90.0,False,obelix,train,10.1021/acs.chemmater.8b01504
efb,Li3.6Ge0.6P0.4O4,-4.958607314841775,LISICON,62.0,10.7284,6.1866,5.0882,90.0,90.0,90.0,False,obelix,train,10.1021/acs.chemmater.8b01504
lcm,Li3.6Ge0.6V0.4O4,-4.496209316942819,LISICON,62.0,10.8786,6.26,5.1371,90.0,90.0,90.0,False,obelix,train,10.1021/acs.chemmater.8b01504
mgs,Li3.8Ge0.8P0.2O4,-5.987162775294828,LISICON,62.0,10.8096,6.1767,5.1421,90.0,90.0,90.0,False,obelix,train,10.1021/acs.chemmater.8b01504
31s,Li3.8Ge0.8V0.2O4,-5.567030709125595,LISICON,62.0,10.8891,6.2315,5.1518,90.0,90.0,90.0,False,obelix,train,10.1021/acs.chemmater.8b01504
dku,Li3P0.4V0.6O4,-12.449771646944908,LISICON,62.0,10.7651,6.2647,4.9262,90.0,90.0,90.0,False,obelix,train,10.1021/acs.chemmater.8b01504
ndx,Li3P0.6V0.4O4,-12.494850021680094,LISICON,62.0,10.6467,6.2052,4.9763,90.0,90.0,90.0,False,obelix,train,10.1021/acs.chemmater.8b01504
m0j,Li3P0.8V0.2O4,-12.688246138944246,LISICON,62.0,10.554,6.1486,4.9492,90.0,90.0,90.0,False,obelix,train,10.1021/acs.chemmater.8b01504
9lo,Li3PO4,-12.756961951313706,LISICON,62.0,10.4772,6.1179,4.9297,90.0,90.0,90.0,True,obelix,train,10.1021/acs.chemmater.8b01504
dth,Li4GeO4,-11.886056647693165,LISICON,63.0,7.7661,7.3645,6.0555,90.0,90.0,90.0,True,obelix,train,10.1021/acs.chemmater.8b01504
45e,Li2MgBr4,-9.10790539730952,halides,65.0,7.771,11.04,7.735,90.0,90.0,90.0,True,obelix,train,10.1002/chin.198639014|10.1149/1.2108704
x2i,LiBiO2,-7.42021640338319,oxides,72.0,18.00548,5.18159,4.97144,90.0,90.0,90.0,True,obelix,train,10.1016/j.ssi.2015.10.016
xz4,(Li0.5Ce0.5)(MoO4),-7.886056647693163,molybdates,88.0,5.2943,5.2943,11.6254,90.0,90.0,90.0,True,obelix,train,10.1007/s12039-011-0068-5
hja,(Li0.5Ce0.25Pr0.25)(MoO4),-9.0,molybdates,88.0,5.284,5.284,11.5763,90.0,90.0,90.0,True,obelix,train,10.1007/s12039-011-0068-5
3nb,(Li0.5Ce0.25Sm0.25)(MoO4),-9.744727494896694,molybdates,88.0,5.2546,5.2546,11.5052,90.0,90.0,90.0,True,obelix,train,10.1007/s12039-011-0068-5
qa9,Li3BN2,-9.795880017344077,boron nitride,136.0,4.6435,4.6435,5.2592,90.0,90.0,90.0,True,obelix,train,10.1016/0022-4596(87)90135-6
ihb,Li0.33La0.56Ti0.99Al0.01O2.99F0.01,-3.0087739243075053,perovskites,99.0,3.8701,3.8701,7.756,90.0,90.0,90.0,False,obelix,train,10.1007/s11581-006-0011-9
3k7,Li0.33La0.56Ti0.98Al0.02O2.98F0.02,-2.9746941347352296,perovskites,99.0,3.8697,3.8697,7.749,90.0,90.0,90.0,False,obelix,train,10.1007/s11581-006-0011-9
1sz,Li0.33La0.56Ti0.97Al0.03O2.97F0.03,-3.032452023781138,perovskites,99.0,3.8692,3.8692,7.7434,90.0,90.0,90.0,False,obelix,train,10.1007/s11581-006-0011-9
yh8,Li0.33La0.56Ti0.96Al0.04O2.96F0.04,-3.206209615309181,perovskites,99.0,3.8697,3.8697,7.744,90.0,90.0,90.0,False,obelix,train,10.1007/s11581-006-0011-9
coh,Li0.33La0.56Ti0.95Al0.05O2.95F0.05,-3.75448733218585,perovskites,99.0,3.8667,3.8667,7.739,90.0,90.0,90.0,False,obelix,train,10.1007/s11581-006-0011-9
1pw,Li0.33La0.56Ti0.94Al0.06O2.94F0.06,-3.9746941347352296,perovskites,99.0,3.8722,3.8722,7.73,90.0,90.0,90.0,False,obelix,train,10.1007/s11581-006-0011-9
bw3,Li0.33La0.56Ti0.93Al0.07O2.93F0.07,-3.1904402853647325,perovskites,99.0,3.8705,3.8705,7.7476,90.0,90.0,90.0,False,obelix,train,10.1007/s11581-006-0011-9
my5,Li0.33La0.56Ti0.92Al0.08O2.92F0.08,-3.306273051076353,perovskites,99.0,3.8695,3.8695,7.7437,90.0,90.0,90.0,False,obelix,train,10.1007/s11581-006-0011-9
hta,La0.565Li0.305TiO3,-3.0190880622231564,perovskites,123.0,3.8727,3.8727,7.751,90.0,90.0,90.0,True,obelix,train,10.1016/s0167-2738(00)00761-x
s3h,La0.5Li0.5TiO3,-3.0338582672609675,perovskites,123.0,3.8688,3.86885,7.7462,90.0,90.0,90.0,True,obelix,train,10.1016/s0167-2738(00)00761-x
nua,Li(LaTiO4),-10.0,perovskites,129.0,3.77,3.77,12.076,90.0,90.0,90.0,True,obelix,train,10.4028/www.scientific.net/msf.321-324.965
3rx,Li(NdTiO4),-10.0,perovskites,129.0,3.7465,3.7465,11.895,90.0,90.0,90.0,True,obelix,train,10.4028/www.scientific.net/msf.321-324.965
7e5,La0.65Li0.05(Mg0.5W0.5)O3,-6.7447274948966935,perovskites,129.0,5.533,5.533,7.903,90.0,90.0,90.0,True,obelix,train,10.1016/j.ssi.2004.05.010
sib,La0.63Li0.11(Mg0.5W0.5)O3,-5.167491087293763,perovskites,129.0,5.534,5.534,7.903,90.0,90.0,90.0,True,obelix,train,10.1016/j.ssi.2004.05.010
r99,La0.62 Li0.14(Mg0.5W0.5)O3,-4.920818753952375,perovskites,129.0,5.533,5.533,7.903,90.0,90.0,90.0,True,obelix,train,10.1016/j.ssi.2004.05.010
lol,Li4PS4I,-3.9208187539523753,thio-LISICON,129.0,8.48284,8.48284,5.93013,90.0,90.0,90.0,True,obelix,train,10.1021/acs.chemmater.7b00013
d7f,Li3BiO4,-9.387216143280265,oxides,136.0,8.75298,8.75298,4.22469,90.0,90.0,90.0,True,obelix,train,10.1016/j.ssi.2015.10.016
52b,Li10.05Ge1.05P1.95S12,-1.913640169325252,LGPS,137.0,8.6944,8.6944,12.60025,90.0,90.0,90.0,False,obelix,train,10.1039/c4ta05231e
8po,Li10.2Ge1.2P1.8S12,-1.8794260687941504,LGPS,137.0,8.7043,8.7043,12.616,90.0,90.0,90.0,False,obelix,train,10.1039/c4ta05231e
ya8,Li10.5Ge1.5P1.5S12,-1.958607314841775,LGPS,137.0,8.7025,8.7025,12.6251,90.0,90.0,90.0,False,obelix,train,10.1039/c4ta05231e
j8q,Li10GeP2S12,-1.91721462968355,LGPS,137.0,8.719,8.719,12.639,90.0,90.0,90.0,True,obelix,train,10.1039/c4ta05231e|10.1021/acs.chemmater.7b00886
824,Li10.35Ge1.35P1.65S12,-1.8416375079047504,LGPS,137.0,8.713023,8.713023,12.639695,90.0,90.0,90.0,True,obelix,train,10.1039/c4ta05231e
mqo,Li3.45Si0.45P0.55S4,-2.171984935776023,LGPS,137.0,8.669578,8.669578,12.536058,90.0,90.0,90.0,False,obelix,train,10.1039/c4fd00143e
izs,Li3.475Si0.475P0.525S4,-2.2781893847874533,LGPS,137.0,8.672,8.672,12.536,90.0,90.0,90.0,False,obelix,train,10.1039/c4fd00143e
8nc,Li3.425Si0.425P0.575S4,-2.2479515521805613,LGPS,137.0,8.653,8.653,12.51,90.0,90.0,90.0,False,obelix,train,10.1039/c4fd00143e
3sx,Li3.4Si0.4P0.6S4,-2.375717904164332,LGPS,137.0,8.644,8.644,12.504,90.0,90.0,90.0,False,obelix,train,10.1039/c4fd00143e
xga,Li3.335Sn0.33P0.67S4,-2.4282911681913126,LGPS,137.0,8.743,8.743,12.782,90.0,90.0,90.0,False,obelix,train,10.1039/c4fd00143e
xn9,Li3.3Sn0.3P0.7S4,-2.4377071355435254,LGPS,137.0,8.731,8.731,12.768,90.0,90.0,90.0,False,obelix,train,10.1039/c4fd00143e
sg4,Li3.285Sn0.28P0.72S4,-2.360513510731414,LGPS,137.0,8.721,8.721,12.725,90.0,90.0,90.0,False,obelix,train,10.1039/c4fd00143e
ns3,Li3.27Sn0.27P0.73S4,-2.3045183235098023,LGPS,137.0,8.7405,8.7405,12.715,90.0,90.0,90.0,False,obelix,train,10.1039/c4fd00143e
g8j,Li3.26Sn0.26P0.74S4,-2.343901797987168,LGPS,137.0,8.737,8.737,12.713,90.0,90.0,90.0,False,obelix,train,10.1039/c4fd00143e
bim,Li3.25Sn0.25P0.75S4,-2.4436974992327127,LGPS,137.0,8.722,8.722,12.72,90.0,90.0,90.0,False,obelix,train,10.1039/c4fd00143e
02p,Li10SiP2S12,-2.638272163982407,LGPS,137.0,8.6512,8.6512,12.5095,90.0,90.0,90.0,True,obelix,train,10.1149/2.0501412jes
9lx,Li10SnP2S12,-2.154901959985743,LGPS,137.0,8.7057,8.7057,12.7389,90.0,90.0,90.0,True,obelix,train,10.1021/ja407393y
mtn,Li10GeP2S12,-1.609064892896621,LGPS,137.0,8.71121,8.71121,12.6078,90.0,90.0,90.0,True,obelix,train,10.1021/acs.chemmater.8b00266
9rc,Li10(Ge0.776Sn0.224)P2S12,-1.85078088734462,LGPS,137.0,8.71859,8.71859,12.6514,90.0,90.0,90.0,True,obelix,train,10.1021/acs.chemmater.8b00266
13q,Li10SnP2S12,-2.4001169279263124,LGPS,137.0,8.73685,8.73685,12.7573,90.0,90.0,90.0,True,obelix,train,10.1021/acs.chemmater.8b00266
ik8,Li10(Ge0.416Sn0.584)P2S12,-2.1290111862394245,LGPS,137.0,8.72902,8.72902,12.7065,90.0,90.0,90.0,True,obelix,train,10.1021/acs.chemmater.8b00266
nip,Li9.81Sn0.81P2.19S12,-2.2596373105057563,LGPS,137.0,8.73764,8.73764,12.7166,90.0,90.0,90.0,True,obelix,train,10.1107/s2052520615022283
1hh,Li10GeP2S12,-1.9208187539523751,LGPS,137.0,8.69407,8.69407,12.5994,90.0,90.0,90.0,True,obelix,train,10.1038/nmat3066
8ub,Li10.5(Sn0.2Si0.8)1.5P1.5S12,-2.0560111249262283,LGPS,137.0,8.69204,8.69204,12.6166,90.0,90.0,90.0,True,obelix,train,10.1021/acs.chemmater.7b00886
7tu,Li10.2(Sn0.2Si0.8)1.2P1.8S12,-2.106793246940152,LGPS,137.0,8.65173,8.65173,12.5349,90.0,90.0,90.0,True,obelix,train,10.1021/acs.chemmater.7b00886
ui6,Li10.35(Sn0.27Si1.08)P1.65S12,-1.958607314841775,LGPS,137.0,8.67822,8.67822,12.5744,90.0,90.0,90.0,True,obelix,train,10.1021/acs.chemmater.7b00886
nkr,Li10GeP2S12,-2.844663962534938,LGPS,137.0,8.694,8.694,12.599,90.0,90.0,90.0,True,obelix,train,10.1016/j.ssi.2017.01.014
906,Li9.8Ba0.1GeP2S12,-3.251037138743839,LGPS,137.0,8.716,8.716,12.728,90.0,90.0,90.0,False,obelix,train,10.1016/j.ssi.2017.01.014
fnu,Li9.6Ba0.2GeP2S12,-3.242603971206976,LGPS,137.0,8.727,8.727,12.908,90.0,90.0,90.0,False,obelix,train,10.1016/j.ssi.2017.01.014
pfi,Li9.4Ba0.3GeP2S12,-3.1505805862031004,LGPS,137.0,8.734,8.734,13.005,90.0,90.0,90.0,False,obelix,train,10.1016/j.ssi.2017.01.014
f0h,Li9.2Ba0.4GeP2S12,-3.500312917381596,LGPS,137.0,8.752,8.752,13.011,90.0,90.0,90.0,False,obelix,train,10.1016/j.ssi.2017.01.014
7iw,Li9Ba0.5GeP2S12,-4.000869458712629,LGPS,137.0,8.77,8.77,13.053,90.0,90.0,90.0,False,obelix,train,10.1016/j.ssi.2017.01.014
ikh,Li9.6P3S12,-2.920818753952376,LGPS,137.0,8.7144,8.7144,12.4677,90.0,90.0,90.0,False,obelix,train,10.1038/nenergy.2016.30
hd3,Li7GePS8,-2.154901959985743,LGPS,137.0,8.718,8.718,12.66,90.0,90.0,90.0,False,obelix,train,10.1039/c3ee41728j
ete,Li9.54Si1.74P1.44S11.7Cl0.3,-1.6020599913279625,LGPS,137.0,8.709652,8.709652,12.56907,90.0,90.0,90.0,False,obelix,train,10.1038/nenergy.2016.30
k4x,Li10.35Si1.35P1.65S12,-2.1870866433571443,LGPS,137.0,8.68385,8.68385,12.55589,90.0,90.0,90.0,True,obelix,train,10.1107/s2052520615022283
ia5,LiLaNb2O7,-8.0,perovskites,139.0,3.8798,3.8798,20.3597,90.0,90.0,90.0,True,obelix,train,10.1016/0925-8388(93)90192-p
sg0,LiScO2,-10.0,oxides,141.0,4.1791,4.1791,9.361,90.0,90.0,90.0,True,obelix,train,10.2320/matertrans.y-m2016816
